TAIL_NUM,MFR,MODEL,MODEL_STD,YEAR MFR
309NV,AIRBUS,A319-111,A319-100,2007
311NV,AIRBUS,A319-111,A319-100,2006
312NV,AIRBUS,A319-111,A319-100,2004
313NV,AIRBUS,A319-111,A319-100,2004
315NV,AIRBUS,A319-111,A319-100,nan
316NV,AIRBUS,A319-111,A319-100,2005
317NV,AIRBUS,A319-111,A319-100,2005
319NV,AIRBUS,A319-111,A319-100,2005
320NV,AIRBUS,A319-111,A319-100,nan
321NV,AIRBUS,A319-111,A319-100,nan
326NV,AIRBUS,A319-111,A319-100,2005
327NV,AIRBUS,A319-111,A319-100,2005
328NV,AIRBUS,A319-111,A319-100,2006
330NV,AIRBUS,A319-111,A319-100,2006
331NV,AIRBUS,A319-111,A319-100,nan
333NV,AIRBUS,A319-111,A319-100,nan
334NV,AIRBUS,A319-111,A319-100,2006
337NV,AIRBUS,A319-111,A319-100,2004
301NV,AIRBUS,A319-112,A319-100,2004
308NV,AIRBUS,A319-112,A319-100,nan
324NV,AIRBUS,A319-112,A319-100,2006
325NV,AIRBUS,A319-112,A319-100,nan
N177XF,AIRBUS,A319-112,A319-100,2006
N771XF,AIRBUS,A319-112,A319-100,2003
N772XF,AIRBUS,A319-112,A319-100,2003
N773XF,AIRBUS,A319-112,A319-100,2003
N774XF,AIRBUS,A319-112,A319-100,2003
N776XF,AIRBUS,A319-112,A319-100,2004
N778XF,AIRBUS,A319-112,A319-100,2009
N338NB,AIRBUS,A319-114,A319-100,2002
N339NB,AIRBUS,A319-114,A319-100,2002
N340NB,AIRBUS,A319-114,A319-100,2002
N341NB,AIRBUS,A319-114,A319-100,2002
N342NB,AIRBUS,A319-114,A319-100,2002
N343NB,AIRBUS,A319-114,A319-100,2002
N344NB,AIRBUS,A319-114,A319-100,2002
N345NB,AIRBUS,A319-114,A319-100,nan
N346NB,AIRBUS,A319-114,A319-100,2002
N347NB,AIRBUS,A319-114,A319-100,2002
N348NB,AIRBUS,A319-114,A319-100,2002
N349NB,AIRBUS,A319-114,A319-100,2002
N351NB,AIRBUS,A319-114,A319-100,2002
N352NB,AIRBUS,A319-114,A319-100,2002
N353NB,AIRBUS,A319-114,A319-100,2002
N354NB,AIRBUS,A319-114,A319-100,2002
N355NB,AIRBUS,A319-114,A319-100,2002
N357NB,AIRBUS,A319-114,A319-100,2002
N358NB,AIRBUS,A319-114,A319-100,2003
N359NB,AIRBUS,A319-114,A319-100,2003
N360NB,AIRBUS,A319-114,A319-100,2003
N361NB,AIRBUS,A319-114,A319-100,2003
N362NB,AIRBUS,A319-114,A319-100,2003
N363NB,AIRBUS,A319-114,A319-100,2003
N364NB,AIRBUS,A319-114,A319-100,2003
N365NB,AIRBUS,A319-114,A319-100,2003
N366NB,AIRBUS,A319-114,A319-100,2003
N368NB,AIRBUS,A319-114,A319-100,2003
N369NB,AIRBUS,A319-114,A319-100,2003
N370NB,AIRBUS,A319-114,A319-100,2003
N371NB,AIRBUS,A319-114,A319-100,2003
N12028,AIRBUS,A319-115,A319-100,2015
N3014R,AIRBUS,A319-115,A319-100,2013
N4005X,AIRBUS,A319-115,A319-100,2013
N4032T,AIRBUS,A319-115,A319-100,2015
N5007E,AIRBUS,A319-115,A319-100,2013
N70020,AIRBUS,A319-115,A319-100,2014
N8001N,AIRBUS,A319-115,A319-100,2013
N8009T,AIRBUS,A319-115,A319-100,2013
N8027D,AIRBUS,A319-115,A319-100,2015
N8030F,AIRBUS,A319-115,A319-100,2015
N8031M,AIRBUS,A319-115,A319-100,2015
N90024,AIRBUS,A319-115,A319-100,2014
N9002U,AIRBUS,A319-115,A319-100,2013
N9004F,AIRBUS,A319-115,A319-100,2013
N9006,AIRBUS,A319-115,A319-100,2013
N9008U,AIRBUS,A319-115,A319-100,2013
N9010R,AIRBUS,A319-115,A319-100,2013
N9011P,AIRBUS,A319-115,A319-100,2013
N9012,AIRBUS,A319-115,A319-100,2013
N9013A,AIRBUS,A319-115,A319-100,2013
N9015D,AIRBUS,A319-115,A319-100,2013
N9016,AIRBUS,A319-115,A319-100,2014
N9017P,AIRBUS,A319-115,A319-100,2014
N9018E,AIRBUS,A319-115,A319-100,2014
N9019F,AIRBUS,A319-115,A319-100,2014
N9021H,AIRBUS,A319-115,A319-100,2014
N9022G,AIRBUS,A319-115,A319-100,2014
N9023N,AIRBUS,A319-115,A319-100,2014
N9025B,AIRBUS,A319-115,A319-100,2014
N9029F,AIRBUS,A319-115,A319-100,2015
N93003,AIRBUS,A319-115,A319-100,2013
N851UA,AIRBUS,A319-131,A319-100,2002
N852UA,AIRBUS,A319-131,A319-100,2002
N853UA,AIRBUS,A319-131,A319-100,2002
N854UA,AIRBUS,A319-131,A319-100,2002
N855UA,AIRBUS,A319-131,A319-100,2002
N4888U,AIRBUS,A319-132,A319-100,2007
N527NK,AIRBUS,A319-132,A319-100,2007
N833AW,AIRBUS,A319-132,A319-100,2002
N834AW,AIRBUS,A319-132,A319-100,nan
N835AW,AIRBUS,A319-132,A319-100,nan
N836AW,AIRBUS,A319-132,A319-100,2005
N837AW,AIRBUS,A319-132,A319-100,2005
N838AW,AIRBUS,A319-132,A319-100,2005
N839AW,AIRBUS,A319-132,A319-100,2006
N840AW,AIRBUS,A319-132,A319-100,2006
N871UA,AIRBUS,A319-132,A319-100,2003
N872UA,AIRBUS,A319-132,A319-100,2003
N873UA,AIRBUS,A319-132,A319-100,2003
N874UA,AIRBUS,A319-132,A319-100,nan
N875UA,AIRBUS,A319-132,A319-100,2004
N876UA,AIRBUS,A319-132,A319-100,2004
N877UA,AIRBUS,A319-132,A319-100,2004
N878UA,AIRBUS,A319-132,A319-100,2005
N879UA,AIRBUS,A319-132,A319-100,2005
N880UA,AIRBUS,A319-132,A319-100,2005
N881UA,AIRBUS,A319-132,A319-100,2005
N882UA,AIRBUS,A319-132,A319-100,2005
N883UA,AIRBUS,A319-132,A319-100,2005
N884UA,AIRBUS,A319-132,A319-100,2005
N889UA,AIRBUS,A319-132,A319-100,2006
N890UA,AIRBUS,A319-132,A319-100,2006
N891UA,AIRBUS,A319-132,A319-100,2006
N892UA,AIRBUS,A319-132,A319-100,2006
N893UA,AIRBUS,A319-132,A319-100,2006
N894UA,AIRBUS,A319-132,A319-100,2006
N895UA,AIRBUS,A319-132,A319-100,2007
N896UA,AIRBUS,A319-132,A319-100,2007
N897UA,AIRBUS,A319-132,A319-100,2007
N898UA,AIRBUS,A319-132,A319-100,2007
N899UA,AIRBUS,A319-132,A319-100,2007
N377NW,AIRBUS,A320-211,A320-200,2003
N378NW,AIRBUS,A320-211,A320-200,2003
N375NC,AIRBUS,A320-212,A320-200,2002
N376NW,AIRBUS,A320-212,A320-200,2002
190NV,AIRBUS,A320-214,A320-200,2015
193NV,AIRBUS,A320-214,A320-200,2015
199NV,AIRBUS,A320-214,A320-200,2016
202NV,AIRBUS,A320-214,A320-200,2013
203NV,AIRBUS,A320-214,A320-200,2012
205NV,AIRBUS,A320-214,A320-200,2013
206NV,AIRBUS,A320-214,A320-200,2012
207NV,AIRBUS,A320-214,A320-200,2013
208NV,AIRBUS,A320-214,A320-200,2013
209NV,AIRBUS,A320-214,A320-200,2013
218NV,AIRBUS,A320-214,A320-200,2000
219NV,AIRBUS,A320-214,A320-200,2000
220NV,AIRBUS,A320-214,A320-200,2000
221NV,AIRBUS,A320-214,A320-200,2000
229NV,AIRBUS,A320-214,A320-200,1997
233NV,AIRBUS,A320-214,A320-200,2003
235NV,AIRBUS,A320-214,A320-200,nan
236NV,AIRBUS,A320-214,A320-200,nan
237NV,AIRBUS,A320-214,A320-200,nan
238NV,AIRBUS,A320-214,A320-200,nan
239NV,AIRBUS,A320-214,A320-200,nan
240NV,AIRBUS,A320-214,A320-200,2000
241NV,AIRBUS,A320-214,A320-200,2000
244NV,AIRBUS,A320-214,A320-200,nan
245NV,AIRBUS,A320-214,A320-200,nan
246NV,AIRBUS,A320-214,A320-200,2017
247NV,AIRBUS,A320-214,A320-200,2017
248NV,AIRBUS,A320-214,A320-200,2017
249NV,AIRBUS,A320-214,A320-200,2017
250NV,AIRBUS,A320-214,A320-200,2017
251NV,AIRBUS,A320-214,A320-200,2017
253NV,AIRBUS,A320-214,A320-200,2017
254NV,AIRBUS,A320-214,A320-200,2017
257NV,AIRBUS,A320-214,A320-200,2018
259NV,AIRBUS,A320-214,A320-200,2009
261NV,AIRBUS,A320-214,A320-200,2009
271NV,AIRBUS,A320-214,A320-200,2006
275NV,AIRBUS,A320-214,A320-200,nan
276NV,AIRBUS,A320-214,A320-200,2019
277NV,AIRBUS,A320-214,A320-200,2007
278NV,AIRBUS,A320-214,A320-200,2010
279NV,AIRBUS,A320-214,A320-200,nan
280NV,AIRBUS,A320-214,A320-200,nan
281NV,AIRBUS,A320-214,A320-200,nan
282NV,AIRBUS,A320-214,A320-200,nan
283NV,AIRBUS,A320-214,A320-200,nan
284NV,AIRBUS,A320-214,A320-200,2012
285NV,AIRBUS,A320-214,A320-200,2012
286NV,AIRBUS,A320-214,A320-200,2010
289NV,AIRBUS,A320-214,A320-200,2011
290NV,AIRBUS,A320-214,A320-200,2004
292NV,AIRBUS,A320-214,A320-200,nan
293NV,AIRBUS,A320-214,A320-200,2011
294NV,AIRBUS,A320-214,A320-200,nan
295NV,AIRBUS,A320-214,A320-200,nan
296NV,AIRBUS,A320-214,A320-200,2006
297NV,AIRBUS,A320-214,A320-200,2006
298NV,AIRBUS,A320-214,A320-200,2006
299NV,AIRBUS,A320-214,A320-200,2011
N125UW,AIRBUS,A320-214,A320-200,2009
N126UW,AIRBUS,A320-214,A320-200,2009
N127UW,AIRBUS,A320-214,A320-200,2010
N128UW,AIRBUS,A320-214,A320-200,2010
N230FR,AIRBUS,A320-214,A320-200,2015
N232FR,AIRBUS,A320-214,A320-200,2015
N233FR,AIRBUS,A320-214,A320-200,2016
N235FR,AIRBUS,A320-214,A320-200,2016
N236FR,AIRBUS,A320-214,A320-200,2016
N238FR,AIRBUS,A320-214,A320-200,2016
N1902U,AIRBUS,A320-232,A320-200,2006
N489UA,AIRBUS,A320-232,A320-200,2002
N4901U,AIRBUS,A320-232,A320-200,2006
N490UA,AIRBUS,A320-232,A320-200,2002
N491UA,AIRBUS,A320-232,A320-200,2002
N492UA,AIRBUS,A320-232,A320-200,2002
N493UA,AIRBUS,A320-232,A320-200,2002
N494UA,AIRBUS,A320-232,A320-200,2002
N495UA,AIRBUS,A320-232,A320-200,2002
N496UA,AIRBUS,A320-232,A320-200,2002
N497UA,AIRBUS,A320-232,A320-200,2002
N498UA,AIRBUS,A320-232,A320-200,2002
N601AW,AIRBUS,A320-232,A320-200,2003
N601NK,AIRBUS,A320-232,A320-200,2010
N602NK,AIRBUS,A320-232,A320-200,2010
N603NK,AIRBUS,A320-232,A320-200,2010
N604NK,AIRBUS,A320-232,A320-200,nan
N605NK,AIRBUS,A320-232,A320-200,2011
N606NK,AIRBUS,A320-232,A320-200,2011
N608NK,AIRBUS,A320-232,A320-200,2011
N609NK,AIRBUS,A320-232,A320-200,2011
N611NK,AIRBUS,A320-232,A320-200,2012
N612NK,AIRBUS,A320-232,A320-200,2012
N613NK,AIRBUS,A320-232,A320-200,2012
N614NK,AIRBUS,A320-232,A320-200,2012
N615NK,AIRBUS,A320-232,A320-200,2012
N616NK,AIRBUS,A320-232,A320-200,2012
N617NK,AIRBUS,A320-232,A320-200,2012
N618NK,AIRBUS,A320-232,A320-200,2013
N619NK,AIRBUS,A320-232,A320-200,2013
N620NK,AIRBUS,A320-232,A320-200,2013
N621NK,AIRBUS,A320-232,A320-200,2013
N622NK,AIRBUS,A320-232,A320-200,2013
N623NK,AIRBUS,A320-232,A320-200,2013
N624NK,AIRBUS,A320-232,A320-200,2013
N625NK,AIRBUS,A320-232,A320-200,nan
N626NK,AIRBUS,A320-232,A320-200,2014
N627NK,AIRBUS,A320-232,A320-200,2014
N628NK,AIRBUS,A320-232,A320-200,2014
N629NK,AIRBUS,A320-232,A320-200,2014
N630NK,AIRBUS,A320-232,A320-200,2014
N631NK,AIRBUS,A320-232,A320-200,2014
N632NK,AIRBUS,A320-232,A320-200,2014
N633NK,AIRBUS,A320-232,A320-200,2014
N634NK,AIRBUS,A320-232,A320-200,2014
N635NK,AIRBUS,A320-232,A320-200,2014
N636NK,AIRBUS,A320-232,A320-200,2015
N637NK,AIRBUS,A320-232,A320-200,2015
N638NK,AIRBUS,A320-232,A320-200,2015
N639JB,AIRBUS,A320-232,A320-200,2006
N639NK,AIRBUS,A320-232,A320-200,2015
N640NK,AIRBUS,A320-232,A320-200,2015
N641NK,AIRBUS,A320-232,A320-200,2015
N642NK,AIRBUS,A320-232,A320-200,2015
N643NK,AIRBUS,A320-232,A320-200,2015
N644NK,AIRBUS,A320-232,A320-200,2016
N645NK,AIRBUS,A320-232,A320-200,2016
N646NK,AIRBUS,A320-232,A320-200,2016
N647NK,AIRBUS,A320-232,A320-200,2017
N648NK,AIRBUS,A320-232,A320-200,2017
N649JB,AIRBUS,A320-232,A320-200,2006
N649NK,AIRBUS,A320-232,A320-200,2017
N650NK,AIRBUS,A320-232,A320-200,2017
N651NK,AIRBUS,A320-232,A320-200,2017
N652NK,AIRBUS,A320-232,A320-200,2017
N653NK,AIRBUS,A320-232,A320-200,2018
N654NK,AIRBUS,A320-232,A320-200,2018
N655NK,AIRBUS,A320-232,A320-200,2018
N656NK,AIRBUS,A320-232,A320-200,2018
N668AW,AIRBUS,A320-232,A320-200,2002
N669AW,AIRBUS,A320-232,A320-200,2002
N673AW,AIRBUS,A320-232,A320-200,nan
N679AW,AIRBUS,A320-232,A320-200,2005
N680AW,AIRBUS,A320-232,A320-200,2005
N690NK,AIRBUS,A320-232,A320-200,2018
N691NK,AIRBUS,A320-232,A320-200,2018
N692NK,AIRBUS,A320-232,A320-200,2018
N693NK,AIRBUS,A320-232,A320-200,2018
N694NK,AIRBUS,A320-232,A320-200,2018
N696NK,AIRBUS,A320-232,A320-200,2019
N697NK,AIRBUS,A320-232,A320-200,2010
N698NK,AIRBUS,A320-232,A320-200,2010
N301FR,AIRBUS,A320-251N,A320-200,2016
N303FR,AIRBUS,A320-251N,A320-200,2016
N304FR,AIRBUS,A320-251N,A320-200,2016
N305FR,AIRBUS,A320-251N,A320-200,2016
N307FR,AIRBUS,A320-251N,A320-200,2017
N308FR,AIRBUS,A320-251N,A320-200,2017
N309FR,AIRBUS,A320-251N,A320-200,2017
N310FR,AIRBUS,A320-251N,A320-200,2017
N311FR,AIRBUS,A320-251N,A320-200,2017
N312FR,AIRBUS,A320-251N,A320-200,2017
N313FR,AIRBUS,A320-251N,A320-200,2017
N316FR,AIRBUS,A320-251N,A320-200,2017
N317FR,AIRBUS,A320-251N,A320-200,2017
N318FR,AIRBUS,A320-251N,A320-200,2017
N322FR,AIRBUS,A320-251N,A320-200,2017
N323FR,AIRBUS,A320-251N,A320-200,2017
N324FR,AIRBUS,A320-251N,A320-200,2017
N326FR,AIRBUS,A320-251N,A320-200,2018
N328FR,AIRBUS,A320-251N,A320-200,2018
N329FR,AIRBUS,A320-251N,A320-200,2018
N330FR,AIRBUS,A320-251N,A320-200,2018
N331FR,AIRBUS,A320-251N,A320-200,2018
N332FR,AIRBUS,A320-251N,A320-200,2018
N334FR,AIRBUS,A320-251N,A320-200,2018
N335FR,AIRBUS,A320-251N,A320-200,2018
N336FR,AIRBUS,A320-251N,A320-200,2018
N337FR,AIRBUS,A320-251N,A320-200,2018
N338FR,AIRBUS,A320-251N,A320-200,2018
N339FR,AIRBUS,A320-251N,A320-200,2018
N341FR,AIRBUS,A320-251N,A320-200,2018
N342FR,AIRBUS,A320-251N,A320-200,2018
N343FR,AIRBUS,A320-251N,A320-200,2018
N344FR,AIRBUS,A320-251N,A320-200,2018
N346FR,AIRBUS,A320-251N,A320-200,2019
N347FR,AIRBUS,A320-251N,A320-200,2019
N348FR,AIRBUS,A320-251N,A320-200,2019
N349FR,AIRBUS,A320-251N,A320-200,2019
N350FR,AIRBUS,A320-251N,A320-200,2019
N351FR,AIRBUS,A320-251N,A320-200,2019
N353FR,AIRBUS,A320-251N,A320-200,2019
N354FR,AIRBUS,A320-251N,A320-200,2019
N356FR,AIRBUS,A320-251N,A320-200,2019
N358FR,AIRBUS,A320-251N,A320-200,2019
N359FR,AIRBUS,A320-251N,A320-200,2019
N360FR,AIRBUS,A320-251N,A320-200,2019
N361FR,AIRBUS,A320-251N,A320-200,2019
N362FR,AIRBUS,A320-251N,A320-200,2019
N363FR,AIRBUS,A320-251N,A320-200,2019
N364FR,AIRBUS,A320-251N,A320-200,2019
N365FR,AIRBUS,A320-251N,A320-200,2019
N366FR,AIRBUS,A320-251N,A320-200,2020
N367FR,AIRBUS,A320-251N,A320-200,2020
N368FR,AIRBUS,A320-251N,A320-200,2020
N369FR,AIRBUS,A320-251N,A320-200,2020
N370FR,AIRBUS,A320-251N,A320-200,2020
N371FR,AIRBUS,A320-251N,A320-200,2020
N372FR,AIRBUS,A320-251N,A320-200,2020
N373FR,AIRBUS,A320-251N,A320-200,2021
N374FR,AIRBUS,A320-251N,A320-200,2021
N375FR,AIRBUS,A320-251N,A320-200,2020
N376FR,AIRBUS,A320-251N,A320-200,2020
N377FR,AIRBUS,A320-251N,A320-200,2021
N378FR,AIRBUS,A320-251N,A320-200,2021
N379FR,AIRBUS,A320-251N,A320-200,2021
N380FR,AIRBUS,A320-251N,A320-200,2021
N381FR,AIRBUS,A320-251N,A320-200,2021
N382FR,AIRBUS,A320-251N,A320-200,2021
N383FR,AIRBUS,A320-251N,A320-200,2021
N384FR,AIRBUS,A320-251N,A320-200,2021
N385FR,AIRBUS,A320-251N,A320-200,2021
N386FR,AIRBUS,A320-251N,A320-200,2021
N387FR,AIRBUS,A320-251N,A320-200,2021
N388FR,AIRBUS,A320-251N,A320-200,2022
N389FR,AIRBUS,A320-251N,A320-200,2022
N390FR,AIRBUS,A320-251N,A320-200,2022
N391FR,AIRBUS,A320-251N,A320-200,2022
N392FR,AIRBUS,A320-251N,A320-200,nan
N393FR,AIRBUS,A320-251N,A320-200,2022
N394FR,AIRBUS,A320-251N,A320-200,2022
N395FR,AIRBUS,A320-251N,A320-200,2022
N396FR,AIRBUS,A320-251N,A320-200,2022
N901NK,AIRBUS,A320-271N,A320-200,2016
N902NK,AIRBUS,A320-271N,A320-200,2016
N903NK,AIRBUS,A320-271N,A320-200,2016
N904NK,AIRBUS,A320-271N,A320-200,2016
N905NK,AIRBUS,A320-271N,A320-200,2016
N906NK,AIRBUS,A320-271N,A320-200,2018
N907NK,AIRBUS,A320-271N,A320-200,2018
N908NK,AIRBUS,A320-271N,A320-200,2018
N910NK,AIRBUS,A320-271N,A320-200,2018
N912NK,AIRBUS,A320-271N,A320-200,2018
N913NK,AIRBUS,A320-271N,A320-200,2017
N915NK,AIRBUS,A320-271N,A320-200,2018
N916NK,AIRBUS,A320-271N,A320-200,2019
N917NK,AIRBUS,A320-271N,A320-200,2019
N918NK,AIRBUS,A320-271N,A320-200,2019
N919NK,AIRBUS,A320-271N,A320-200,2019
N920NK,AIRBUS,A320-271N,A320-200,2019
N921NK,AIRBUS,A320-271N,A320-200,2019
N922NK,AIRBUS,A320-271N,A320-200,2019
N923NK,AIRBUS,A320-271N,A320-200,2019
N924NK,AIRBUS,A320-271N,A320-200,2019
N925NK,AIRBUS,A320-271N,A320-200,2020
N926NK,AIRBUS,A320-271N,A320-200,2020
N927NK,AIRBUS,A320-271N,A320-200,2020
N929NK,AIRBUS,A320-271N,A320-200,2020
N930NK,AIRBUS,A320-271N,A320-200,2020
N931NK,AIRBUS,A320-271N,A320-200,2020
N932NK,AIRBUS,A320-271N,A320-200,2020
N933NK,AIRBUS,A320-271N,A320-200,2020
N934NK,AIRBUS,A320-271N,A320-200,2020
N935NK,AIRBUS,A320-271N,A320-200,2020
N936NK,AIRBUS,A320-271N,A320-200,2021
N937NK,AIRBUS,A320-271N,A320-200,2021
N938NK,AIRBUS,A320-271N,A320-200,2021
N939NK,AIRBUS,A320-271N,A320-200,2021
N940NK,AIRBUS,A320-271N,A320-200,2021
N941NK,AIRBUS,A320-271N,A320-200,2021
N942NK,AIRBUS,A320-271N,A320-200,2021
N943NK,AIRBUS,A320-271N,A320-200,2021
N944NK,AIRBUS,A320-271N,A320-200,2021
N945NK,AIRBUS,A320-271N,A320-200,2021
N946NK,AIRBUS,A320-271N,A320-200,2021
N947NK,AIRBUS,A320-271N,A320-200,2021
N948NK,AIRBUS,A320-271N,A320-200,2021
N949NK,AIRBUS,A320-271N,A320-200,2021
N950NK,AIRBUS,A320-271N,A320-200,2021
N951NK,AIRBUS,A320-271N,A320-200,2021
N952NK,AIRBUS,A320-271N,A320-200,2022
N953NK,AIRBUS,A320-271N,A320-200,2022
N954NK,AIRBUS,A320-271N,A320-200,2022
N955NK,AIRBUS,A320-271N,A320-200,2022
N956NK,AIRBUS,A320-271N,A320-200,2022
N957NK,AIRBUS,A320-271N,A320-200,2022
N958NK,AIRBUS,A320-271N,A320-200,2022
N959NK,AIRBUS,A320-271N,A320-200,2022
N960NK,AIRBUS,A320-271N,A320-200,2022
N961NK,AIRBUS,A320-271N,A320-200,2022
N962NK,AIRBUS,A320-271N,A320-200,2022
N963NK,AIRBUS,A320-271N,A320-200,2022
N964NK,AIRBUS,A320-271N,A320-200,2022
N965NK,AIRBUS,A320-271N,A320-200,2022
N967NK,AIRBUS,A320-271N,A320-200,2022
N968NK,AIRBUS,A320-271N,A320-200,2022
N969NK,AIRBUS,A320-271N,A320-200,2022
N972NK,AIRBUS,A320-271N,A320-200,2022
N973NK,AIRBUS,A320-271N,A320-200,2023
N975NK,AIRBUS,A320-271N,A320-200,2022
N976NK,AIRBUS,A320-271N,A320-200,2023
N977NK,AIRBUS,A320-271N,A320-200,2023
N978NK,AIRBUS,A320-271N,A320-200,2023
N980NK,AIRBUS,A320-271N,A320-200,2023
N981NK,AIRBUS,A320-271N,A320-200,2023
N982NK,AIRBUS,A320-271N,A320-200,2023
N983NK,AIRBUS,A320-271N,A320-200,2023
N984NK,AIRBUS,A320-271N,A320-200,2023
N985NK,AIRBUS,A320-271N,A320-200,2023
N987NK,AIRBUS,A320-271N,A320-200,2023
N989NK,AIRBUS,A320-271N,A320-200,2024
N990NK,AIRBUS,A320-271N,A320-200,2024
N991NK,AIRBUS,A320-271N,A320-200,2024
N992NK,AIRBUS,A320-271N,A320-200,2024
N993NK,AIRBUS,A320-271N,A320-200,2024
N994NK,AIRBUS,A320-271N,A320-200,2024
N101DQ,AIRBUS,A321-211,A321-200,2020
N102DN,AIRBUS,A321-211,A321-200,2020
N103DY,AIRBUS,A321-211,A321-200,2020
N104DN,AIRBUS,A321-211,A321-200,nan
N105DX,AIRBUS,A321-211,A321-200,2020
N106DN,AIRBUS,A321-211,A321-200,2020
N107DN,AIRBUS,A321-211,A321-200,2020
N108DN,AIRBUS,A321-211,A321-200,2021
N109DN,AIRBUS,A321-211,A321-200,2021
N110DX,AIRBUS,A321-211,A321-200,2021
N111DC,AIRBUS,A321-211,A321-200,2021
N113DX,AIRBUS,A321-211,A321-200,2021
N114DN,AIRBUS,A321-211,A321-200,2021
N115DN,AIRBUS,A321-211,A321-200,2021
N117DX,AIRBUS,A321-211,A321-200,2021
N118DY,AIRBUS,A321-211,A321-200,2021
N119DN,AIRBUS,A321-211,A321-200,2021
N120DN,AIRBUS,A321-211,A321-200,2021
N121DZ,AIRBUS,A321-211,A321-200,2021
N122DN,AIRBUS,A321-211,A321-200,2021
N123DW,AIRBUS,A321-211,A321-200,2021
N124DX,AIRBUS,A321-211,A321-200,2021
N125DN,AIRBUS,A321-211,A321-200,2021
N126DN,AIRBUS,A321-211,A321-200,2021
N127DN,AIRBUS,A321-211,A321-200,2021
N128DN,AIRBUS,A321-211,A321-200,2021
N129DN,AIRBUS,A321-211,A321-200,2021
N150UW,AIRBUS,A321-211,A321-200,2013
N151UW,AIRBUS,A321-211,A321-200,2013
N152UW,AIRBUS,A321-211,A321-200,2013
N153UW,AIRBUS,A321-211,A321-200,2013
N154UW,AIRBUS,A321-211,A321-200,2013
N155UW,AIRBUS,A321-211,A321-200,2013
N156UW,AIRBUS,A321-211,A321-200,2013
N157UW,AIRBUS,A321-211,A321-200,2013
N186US,AIRBUS,A321-211,A321-200,2002
N187US,AIRBUS,A321-211,A321-200,2002
N188US,AIRBUS,A321-211,A321-200,2002
N193UW,AIRBUS,A321-211,A321-200,2008
N194UW,AIRBUS,A321-211,A321-200,nan
N195UW,AIRBUS,A321-211,A321-200,2008
N196UW,AIRBUS,A321-211,A321-200,2009
N197UW,AIRBUS,A321-211,A321-200,2009
N198UW,AIRBUS,A321-211,A321-200,2013
N199UW,AIRBUS,A321-211,A321-200,2013
N341DN,AIRBUS,A321-211,A321-200,2018
N342DN,AIRBUS,A321-211,A321-200,2018
N343DN,AIRBUS,A321-211,A321-200,2018
N344DN,AIRBUS,A321-211,A321-200,2018
N345DN,AIRBUS,A321-211,A321-200,2018
N346DN,AIRBUS,A321-211,A321-200,2018
N347DN,AIRBUS,A321-211,A321-200,2018
N348DN,AIRBUS,A321-211,A321-200,2018
N349DX,AIRBUS,A321-211,A321-200,2018
N350DN,AIRBUS,A321-211,A321-200,2018
N351DN,AIRBUS,A321-211,A321-200,2018
N352DN,AIRBUS,A321-211,A321-200,2018
N353DN,AIRBUS,A321-211,A321-200,2018
N354DN,AIRBUS,A321-211,A321-200,2018
N359DN,AIRBUS,A321-211,A321-200,2018
N366DX,AIRBUS,A321-211,A321-200,2019
N367DN,AIRBUS,A321-211,A321-200,2019
N368DN,AIRBUS,A321-211,A321-200,2019
N369DN,AIRBUS,A321-211,A321-200,2019
N370DN,AIRBUS,A321-211,A321-200,2019
N371DN,AIRBUS,A321-211,A321-200,2019
N372DN,AIRBUS,A321-211,A321-200,2019
N373DX,AIRBUS,A321-211,A321-200,2019
N374DX,AIRBUS,A321-211,A321-200,2019
N375DN,AIRBUS,A321-211,A321-200,2019
N376DN,AIRBUS,A321-211,A321-200,2019
N377DN,AIRBUS,A321-211,A321-200,2019
N378DN,AIRBUS,A321-211,A321-200,2019
N379DN,AIRBUS,A321-211,A321-200,2019
N380DN,AIRBUS,A321-211,A321-200,2019
N381DZ,AIRBUS,A321-211,A321-200,2019
N382DN,AIRBUS,A321-211,A321-200,2019
N383DZ,AIRBUS,A321-211,A321-200,2019
N384DN,AIRBUS,A321-211,A321-200,2019
N385DZ,AIRBUS,A321-211,A321-200,2019
N387DN,AIRBUS,A321-211,A321-200,2019
N389DN,AIRBUS,A321-211,A321-200,2020
N390DN,AIRBUS,A321-211,A321-200,2019
N391DN,AIRBUS,A321-211,A321-200,2019
N392DN,AIRBUS,A321-211,A321-200,2019
N394DX,AIRBUS,A321-211,A321-200,2019
N396DN,AIRBUS,A321-211,A321-200,2019
N397DN,AIRBUS,A321-211,A321-200,2019
N398DN,AIRBUS,A321-211,A321-200,2020
N701FR,AIRBUS,A321-211,A321-200,2015
N702FR,AIRBUS,A321-211,A321-200,2015
N704FR,AIRBUS,A321-211,A321-200,2015
N705FR,AIRBUS,A321-211,A321-200,2015
N706FR,AIRBUS,A321-211,A321-200,2015
N708FR,AIRBUS,A321-211,A321-200,2015
N709FR,AIRBUS,A321-211,A321-200,2016
N710FR,AIRBUS,A321-211,A321-200,2016
N711FR,AIRBUS,A321-211,A321-200,2016
N712FR,AIRBUS,A321-211,A321-200,2016
N713FR,AIRBUS,A321-211,A321-200,2016
N714FR,AIRBUS,A321-211,A321-200,2016
N715FR,AIRBUS,A321-211,A321-200,2016
N716FR,AIRBUS,A321-211,A321-200,2017
N717FR,AIRBUS,A321-211,A321-200,2017
N718FR,AIRBUS,A321-211,A321-200,2017
